"day","shipping_city","shipping_province","traffic_source","host","referrer","order_count","total_sales","Company.ID"
"12/18/2015","Seattle","Washington","Direct",NA,NA,1,6216.22,"ID3747"
"12/18/2015","New Franken","Wisconsin","Direct",NA,NA,1,96.57,"ID4338"
"12/18/2015","Wichita","Kansas","Direct",NA,NA,1,720.56,"ID1315"
"12/18/2015","Jackson","Michigan","Direct",NA,NA,1,601.21,"ID5259"
"12/18/2015","Lake Charles","Louisiana","Unknown","augur.io","cdn.augur.io/_.htm",1,696.54,"ID1680"
"12/18/2015","Eden Prairie","Minnesota","Direct",NA,NA,1,2406.89,"ID2141"
"12/19/2015","Boston","Massachusetts","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,576.09,"ID4328"
"12/19/2015","Calabasas","California","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,657.79,"ID2177"
"12/19/2015","Monrovia","California","Direct",NA,NA,1,901.48,"ID3095"
"12/19/2015","New York City","New York","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,880.02,"ID4610"
"12/19/2015","Charlotte","North Carolina","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,576.09,"ID2834"
"12/20/2015","Menlo Park","California","Direct",NA,NA,1,65.63,"ID5237"
"12/21/2015","New York City","New York","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,4011.75,"ID1349"
"12/21/2015","Mountain View","California","Direct",NA,NA,1,66.74,"ID1603"
"12/21/2015","Clever","Missouri","Search Engine","google.com","www.google.com",1,71.02,"ID1064"
"12/21/2015","San Jose","California","Direct",NA,NA,1,9386.67,"ID4657"
"12/21/2015","Buffalo","New York","Direct",NA,NA,1,645.9,"ID3053"
"12/21/2015","Washington","District Of Columbia","Direct","standdesk.co","www.standdesk.co/products/build-your-standing-desk",1,448.56,"ID1886"
"12/21/2015","Langley","British Columbia","Direct",NA,NA,1,788.46,"ID4938"
"12/21/2015","Newberg","Oregon","Direct",NA,NA,1,828.67,"ID1312"
"12/22/2015","Nashville","Tennessee","Direct",NA,NA,1,576.09,"ID4159"
"12/22/2015","Santa Monica","California","Direct",NA,NA,1,2050.06,"ID1366"
